[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (10 queries, fresh context each, concurrency=3) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_2)
  [q05] starting (worker _worker_1)
  [q14] starting (worker _worker_0)
  [q14] done in 64s (exit 0, score=fail)
  [q23] starting (worker _worker_0)
  [q05] done in 137s (exit 0, score=fail)
  [q38] starting (worker _worker_1)
  [q02] done in 139s (exit 0, score=pass)
  [q64] starting (worker _worker_2)
  [q23] done in 140s (exit 0, score=fail)
  [q70] starting (worker _worker_0)
  [q38] done in 82s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q75] done in 47s (exit 0, score=pass)
  [q78] starting (worker _worker_1)
  [q64] done in 150s (exit 0, score=fail)
  [q97] starting (worker _worker_2)
  [q78] done in 37s (exit 0, score=fail)
  [q97] done in 48s (exit 0, score=fail)
  [q70] done in 277s (exit 0, score=fail)
[4/5] Finalising scores for 10 queries ...
  spliced 89 prior results from 20260628-175514
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (34 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260628-194910

# TPC-DS Agent Eval — 20260628-194910

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.287

## Result

- **Pass rate: 63/99** (64%)
- Status breakdown: {'pass': 63, 'fail': 33, 'timeout': 3}
- Wall time: 489.1s  |  Agent time: 1119.6s  |  Avg/query: 112.0s
- Agent exit code: 0

## Agent harness metrics

- LLM iterations: 215
- Tool calls: 248  →  {'trilogy': 238, 'return_control_to_user': 10}
- `trilogy` subcommands: {'agent-info': 26, 'file': 85, 'explore': 58, 'run': 68}
- Tool success rate: 86% (214/248 ok)
- Tokens: 6862837 total (6785149 prompt + 77688 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
| 36 | fail | 100 | 100 | 2028 | result set differs from reference |
| 37 | pass | 1 | 1 | 539 |  |
| 38 | fail | 1 | 1 | 913 | result set differs from reference |
| 39 | pass | 243 | 243 | 1128 |  |
| 40 | pass | 100 | 100 | 845 |  |
| 41 | pass | 100 | 100 | 1245 |  |
| 42 | pass | 10 | 10 | 435 |  |
| 43 | pass | 6 | 6 | 821 |  |
| 44 | pass | 10 | 10 | 1155 |  |
| 45 | pass | 19 | 19 | 702 |  |
| 46 | pass | 100 | 100 | 1125 |  |
| 47 | fail | 100 | 100 | 3025 | result set differs from reference |
| 48 | pass | 1 | 1 | 1000 |  |
| 49 | pass | 34 | 34 | 2798 |  |
| 50 | pass | 6 | 6 | 1425 |  |
| 51 | fail | 100 | 100 | 1993 | result set differs from reference |
| 52 | pass | 100 | 100 | 377 |  |
| 53 | pass | 100 | 100 | 1596 |  |
| 54 | fail | 1 | 2 | 2125 | result set differs from reference |
| 55 | pass | 100 | 100 | 375 |  |
| 56 | fail | 100 | 100 | 1322 | result set differs from reference |
| 57 | pass | 100 | 100 | 1610 |  |
| 58 | fail | 5 | 5 | 2078 | result set differs from reference |
| 59 | pass | 100 | 100 | 2182 |  |
| 60 | pass | 100 | 100 | 935 |  |
| 61 | pass | 1 | 1 | 1140 |  |
| 62 | pass | 100 | 100 | 1322 |  |
| 63 | pass | 100 | 100 | 1290 |  |
| 64 | fail | 2 | 595 | 12782 | result set differs from reference |
| 65 | pass | 100 | 100 | 995 |  |
| 66 | fail | 5 | 60 | 2052 | result set differs from reference |
| 67 | fail | 100 | 100 | 1236 | result set differs from reference |
| 68 | pass | 100 | 100 | 1099 |  |
| 69 | fail | 100 | 100 | 1272 | result set differs from reference |
| 70 | fail | 3 | 3 | 8877 | result set differs from reference |
| 71 | pass | 1031 | 1031 | 910 |  |
| 72 | pass | 100 | 100 | 1305 |  |
| 73 | pass | 1 | 1 | 944 |  |
| 74 | timeout | 0 | 0 | 0 | agent timed out (was: missing) — no query file produced |
| 75 | pass | 100 | 100 | 9013 |  |
| 76 | timeout | 0 | 0 | 0 | agent timed out (was: missing) — no query file produced |
| 77 | timeout | 0 | 0 | 0 | agent timed out (was: missing) — no query file produced |
| 78 | fail | 100 | 100 | 6672 | result set differs from reference |
| 79 | fail | 100 | 100 | 986 | result set differs from reference |
| 80 | fail | 100 | 100 | 2795 | result set differs from reference |
| 81 | pass | 100 | 100 | 1990 |  |
| 82 | pass | 2 | 2 | 546 |  |
| 83 | fail | 24 | 21 | 2385 | result set differs from reference |
| 84 | fail | 16 | 15 | 710 | result set differs from reference |
| 85 | pass | 1 | 1 | 1625 |  |
| 86 | fail | 100 | 100 | 1218 | result set differs from reference |
| 87 | pass | 1 | 1 | 815 |  |
| 88 | pass | 1 | 1 | 997 |  |
| 89 | pass | 100 | 100 | 1766 |  |
| 90 | pass | 1 | 1 | 483 |  |
| 91 | fail | 2 | 1 | 889 | result set differs from reference |
| 92 | pass | 1 | 1 | 715 |  |
| 93 | fail | 100 | 100 | 729 | result set differs from reference |
| 94 | pass | 1 | 1 | 1614 |  |
| 95 | pass | 1 | 1 | 765 |  |
| 96 | pass | 1 | 1 | 330 |  |
| 97 | fail | 1 | 1 | 1018 | result set differs from reference |
| 98 | fail | 2521 | 2521 | 778 | result set differs from reference |
| 99 | pass | 90 | 90 | 1371 |  |

## Agent final message

> query97.preql written and validated. Results: store_only=0, catalog_only=0, both_sets=286857.

