[categories] spawning parallel runs:
   sql_bare   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260629-155200_sql_bare
[sql_schema]   [q36] done in 126s (exit 0, score=fail)
[sql_schema]   [q41] starting (worker _worker_0)
[sql_bare]   [q37] done in 17s (exit 0, score=pass)
[sql_bare]   [q38] starting (worker _worker_0)
[sql_schema]   [q40] done in 40s (exit 0, score=pass)
[sql_schema]   [q42] starting (worker _worker_1)
[sql_schema]   [q41] done in 30s (exit 0, score=pass)
[sql_schema]   [q43] starting (worker _worker_0)
[sql_schema]   [q42] done in 12s (exit 0, score=pass)
[sql_schema]   [q44] starting (worker _worker_1)
[sql_bare]   [q36] done in 65s (exit 0, score=pass)
[sql_bare]   [q39] starting (worker _worker_1)
[sql_schema]   [q44] done in 26s (exit 0, score=pass)
[sql_schema]   [q45] starting (worker _worker_1)
[sql_schema]   [q43] done in 31s (exit 0, score=pass)
[sql_schema]   [q46] starting (worker _worker_0)
[sql_schema]   [q46] done in 18s (exit 0, score=pass)
[sql_schema]   [q47] starting (worker _worker_0)
[sql_schema]   [q45] done in 29s (exit 0, score=pass)
[sql_schema]   [q48] starting (worker _worker_1)
[sql_bare]   [q39] done in 48s (exit 0, score=pass)
[sql_bare]   [q40] starting (worker _worker_1)
[sql_schema]   [q48] done in 23s (exit 0, score=pass)
[sql_schema]   [q49] starting (worker _worker_1)
[sql_bare]   [q38] done in 118s (exit 0, score=pass)
[sql_bare]   [q41] starting (worker _worker_0)
[sql_schema]   [q47] done in 58s (exit 0, score=pass)
[sql_schema]   [q50] starting (worker _worker_0)
[sql_schema]   [q49] done in 40s (exit 0, score=fail)
[sql_bare]   [q40] done in 51s (exit 0, score=pass)
[sql_schema]   [q51] starting (worker _worker_1)
[sql_bare]   [q42] starting (worker _worker_1)
[sql_bare]   [q42] done in 13s (exit 0, score=pass)
[sql_bare]   [q43] starting (worker _worker_1)
[sql_bare]   [q41] done in 40s (exit 0, score=pass)
[sql_bare]   [q44] starting (worker _worker_0)
[sql_schema]   [q51] done in 33s (exit 0, score=fail)
[sql_schema]   [q52] starting (worker _worker_1)
[sql_schema]   [q52] done in 10s (exit 0, score=pass)
[sql_schema]   [q53] starting (worker _worker_1)
[sql_schema]   [q50] done in 65s (exit 0, score=fail)
[sql_schema]   [q54] starting (worker _worker_0)
[sql_bare]   [q44] done in 33s (exit 0, score=pass)
[sql_bare]   [q45] starting (worker _worker_0)
[sql_bare]   [q43] done in 38s (exit 0, score=pass)
[sql_bare]   [q46] starting (worker _worker_1)
[sql_schema]   [q53] done in 31s (exit 0, score=pass)
[sql_schema]   [q55] starting (worker _worker_1)
[sql_bare]   [q46] done in 26s (exit 0, score=pass)
[sql_bare]   [q47] starting (worker _worker_1)
[sql_bare]   [q45] done in 33s (exit 0, score=fail)
[sql_bare]   [q48] starting (worker _worker_0)
[sql_schema]   [q55] done in 14s (exit 0, score=pass)
[sql_schema]   [q56] starting (worker _worker_1)
[sql_schema]   [q54] done in 53s (exit 0, score=fail)
[sql_schema]   [q57] starting (worker _worker_0)
[sql_bare]   [q48] done in 24s (exit 0, score=pass)
[sql_bare]   [q49] starting (worker _worker_0)
[sql_bare]   [q47] done in 40s (exit 0, score=pass)
[sql_bare]   [q50] starting (worker _worker_1)
[sql_schema]   [q56] done in 38s (exit 0, score=fail)
[sql_schema]   [q58] starting (worker _worker_1)
[sql_schema]   [q57] done in 62s (exit 0, score=pass)
[sql_schema]   [q59] starting (worker _worker_0)
[sql_bare]   [q49] done in 59s (exit 0, score=pass)
[sql_bare]   [q51] starting (worker _worker_0)
[sql_bare]   [q50] done in 55s (exit 0, score=fail)
[sql_bare]   [q52] starting (worker _worker_1)
[sql_schema]   [q58] done in 58s (exit 0, score=fail)
[sql_schema]   [q60] starting (worker _worker_1)
[sql_bare]   [q52] done in 14s (exit 0, score=pass)
[sql_bare]   [q53] starting (worker _worker_1)
[sql_schema]   [q60] done in 23s (exit 0, score=pass)
[sql_schema]   [q61] starting (worker _worker_1)
[sql_bare]   [q51] done in 54s (exit 0, score=fail)
[sql_bare]   [q54] starting (worker _worker_0)
[sql_schema]   [q61] done in 26s (exit 0, score=pass)
[sql_schema]   [q62] starting (worker _worker_1)
[sql_bare]   [q53] done in 53s (exit 0, score=pass)
[sql_bare]   [q55] starting (worker _worker_1)
[sql_bare]   [q55] done in 17s (exit 0, score=pass)
[sql_bare]   [q56] starting (worker _worker_1)
[sql_schema]   [q59] done in 99s (exit 0, score=pass)
[sql_schema]   [q63] starting (worker _worker_0)
[sql_bare]   [q54] done in 54s (exit 0, score=fail)
[sql_bare]   [q57] starting (worker _worker_0)
[sql_schema]   [q62] done in 66s (exit 0, score=pass)
[sql_schema]   [q64] starting (worker _worker_1)
[sql_schema]   [q63] done in 41s (exit 0, score=pass)
[sql_schema]   [q65] starting (worker _worker_0)
[sql_bare]   [q56] done in 70s (exit 0, score=fail)
[sql_bare]   [q58] starting (worker _worker_1)
[sql_schema]   [q65] done in 35s (exit 0, score=pass)
[sql_schema]   [q66] starting (worker _worker_0)
[sql_bare]   [q57] done in 67s (exit 0, score=pass)
[sql_bare]   [q59] starting (worker _worker_0)
[sql_bare]   [q58] done in 45s (exit 0, score=pass)
[sql_bare]   [q60] starting (worker _worker_1)
[sql_schema]   [q66] done in 64s (exit 0, score=fail)
[sql_schema]   [q67] starting (worker _worker_0)
[sql_bare]   [q60] done in 42s (exit 0, score=pass)
[sql_bare]   [q61] starting (worker _worker_1)
[sql_schema]   [q64] done in 122s (exit 0, score=pass)
[sql_schema]   [q68] starting (worker _worker_1)
[sql_bare]   [q59] done in 101s (exit 0, score=pass)
[sql_bare]   [q62] starting (worker _worker_0)
[sql_bare]   [q61] done in 26s (exit 0, score=fail)
[sql_bare]   [q63] starting (worker _worker_1)
[sql_schema]   [q68] done in 36s (exit 0, score=pass)
[sql_schema]   [q69] starting (worker _worker_1)
[sql_schema]   [q67] done in 66s (exit 0, score=pass)
[sql_schema]   [q70] starting (worker _worker_0)
[sql_bare]   [q63] done in 39s (exit 0, score=pass)
[sql_bare]   [q64] starting (worker _worker_1)
[sql_schema]   [q69] done in 32s (exit 0, score=fail)
[sql_schema]   [q71] starting (worker _worker_1)
[sql_bare]   [q62] done in 70s (exit 0, score=pass)
[sql_bare]   [q65] starting (worker _worker_0)
[sql_schema]   [q70] done in 55s (exit 0, score=pass)
[sql_schema]   [q71] done in 31s (exit 0, score=pass)
[sql_schema]   [q72] starting (worker _worker_0)
[sql_schema]   [q73] starting (worker _worker_1)
[sql_bare]   [q65] done in 42s (exit 0, score=pass)
[sql_bare]   [q66] starting (worker _worker_0)
[sql_schema]   [q73] done in 42s (exit 0, score=pass)
[sql_schema]   [q74] starting (worker _worker_1)
[sql_schema]   [q72] done in 69s (exit 0, score=pass)
[sql_schema]   [q75] starting (worker _worker_0)
[sql_bare]   [q64] done in 128s (exit 0, score=pass)
[sql_bare]   [q67] starting (worker _worker_1)
[sql_schema]   [q74] done in 45s (exit 0, score=pass)
[sql_schema]   [q76] starting (worker _worker_1)
[sql_schema]   [q76] done in 23s (exit 0, score=pass)
[sql_schema]   [q77] starting (worker _worker_1)
[sql_bare]   [q67] done in 38s (exit 0, score=fail)
[sql_bare]   [q68] starting (worker _worker_1)
[sql_schema]   [q75] done in 62s (exit 0, score=pass)
[sql_schema]   [q78] starting (worker _worker_0)
[sql_bare]   [q66] done in 112s (exit 0, score=fail)
[sql_bare]   [q69] starting (worker _worker_0)
[sql_bare]   [q68] done in 29s (exit 0, score=pass)
[sql_bare]   [q70] starting (worker _worker_1)
[sql_schema]   [q78] done in 56s (exit 0, score=fail)
[sql_schema]   [q79] starting (worker _worker_0)
[sql_schema]   [q77] done in 90s (exit 0, score=fail)
[sql_schema]   [q80] starting (worker _worker_1)
[sql_bare]   [q70] done in 49s (exit 0, score=fail)
[sql_bare]   [q71] starting (worker _worker_1)
[sql_bare]   [q69] done in 68s (exit 0, score=pass)
[sql_bare]   [q72] starting (worker _worker_0)
[sql_schema]   [q79] done in 33s (exit 0, score=pass)
[sql_schema]   [q81] starting (worker _worker_0)
[sql_schema]   [q81] done in 25s (exit 0, score=pass)
[sql_schema]   [q82] starting (worker _worker_0)
[sql_bare]   [q71] done in 47s (exit 0, score=pass)
[sql_bare]   [q73] starting (worker _worker_1)
[sql_bare]   [q72] done in 45s (exit 0, score=pass)
[sql_bare]   [q74] starting (worker _worker_0)
[sql_schema]   [q82] done in 12s (exit 0, score=pass)
[sql_schema]   [q83] starting (worker _worker_0)
[sql_bare]   [q73] done in 28s (exit 0, score=pass)
[sql_bare]   [q75] starting (worker _worker_1)
[sql_schema]   [q80] done in 85s (exit 0, score=fail)
[sql_schema]   [q84] starting (worker _worker_1)
[sql_bare]   [q74] done in 41s (exit 0, score=pass)
[sql_bare]   [q76] starting (worker _worker_0)
[sql_schema]   [q84] done in 25s (exit 0, score=fail)
[sql_schema]   [q85] starting (worker _worker_1)
[sql_bare]   [q76] done in 29s (exit 0, score=pass)
[sql_bare]   [q77] starting (worker _worker_0)
[sql_schema]   [q85] done in 29s (exit 0, score=pass)
[sql_bare]   [q75] done in 63s (exit 0, score=pass)
[sql_schema]   [q86] starting (worker _worker_1)
[sql_bare]   [q78] starting (worker _worker_1)
[sql_bare]   [q78] done in 62s (exit 0, score=fail)
[sql_bare]   [q79] starting (worker _worker_1)
[sql_bare]   [q77] done in 84s (exit 0, score=fail)
[sql_bare]   [q80] starting (worker _worker_0)
[sql_bare]   [q79] done in 48s (exit 0, score=fail)
[sql_bare]   [q81] starting (worker _worker_1)
[sql_schema]   [q86] done in 123s (exit 0, score=pass)
[sql_schema]   [q87] starting (worker _worker_1)
[sql_bare]   [q81] done in 43s (exit 0, score=fail)
[sql_bare]   [q82] starting (worker _worker_1)
[sql_bare]   [q80] done in 101s (exit 0, score=fail)
[sql_bare]   [q83] starting (worker _worker_0)
[sql_schema]   [q83] done in 266s (exit 0, score=fail)
[sql_schema]   [q88] starting (worker _worker_0)
[sql_schema]   [q87] done in 60s (exit 0, score=pass)
[sql_schema]   [q89] starting (worker _worker_1)
[sql_bare]   [q82] done in 27s (exit 0, score=pass)
[sql_bare]   [q84] starting (worker _worker_1)
[sql_bare]   [q84] done in 29s (exit 0, score=pass)
[sql_bare]   [q85] starting (worker _worker_1)
[sql_schema]   [q88] done in 36s (exit 0, score=pass)
[sql_schema]   [q90] starting (worker _worker_0)
[sql_schema]   [q89] done in 50s (exit 0, score=pass)
[sql_schema]   [q91] starting (worker _worker_1)
[sql_schema]   [q90] done in 19s (exit 0, score=pass)
[sql_schema]   [q92] starting (worker _worker_0)
[sql_bare]   [q85] done in 32s (exit 0, score=pass)
[sql_bare]   [q86] starting (worker _worker_1)
[sql_schema]   [q92] done in 29s (exit 0, score=pass)
[sql_schema]   [q93] starting (worker _worker_0)
[sql_schema]   [q91] done in 38s (exit 0, score=pass)
[sql_schema]   [q94] starting (worker _worker_1)
[sql_bare]   [q83] done in 163s (exit 0, score=pass)
[sql_bare]   [q87] starting (worker _worker_0)
[sql_bare]   [q86] done in 83s (exit 0, score=fail)
[sql_bare]   [q88] starting (worker _worker_1)
[sql_schema]   [q93] done in 72s (exit 0, score=fail)
[sql_schema]   [q95] starting (worker _worker_0)
[sql_bare]   [q87] done in 37s (exit 0, score=pass)
[sql_bare]   [q89] starting (worker _worker_0)
[sql_bare]   [q88] done in 42s (exit 0, score=pass)
[sql_bare]   [q90] starting (worker _worker_1)
[sql_bare]   [q90] done in 20s (exit 0, score=fail)
[sql_bare]   [q91] starting (worker _worker_1)
[sql_schema]   [q95] done in 57s (exit 0, score=fail)
[sql_schema]   [q96] starting (worker _worker_0)
[sql_schema]   [q94] done in 135s (exit 0, score=pass)
[sql_schema]   [q97] starting (worker _worker_1)
[sql_bare]   [q89] done in 40s (exit 0, score=pass)
[sql_bare]   [q92] starting (worker _worker_0)
[sql_schema]   [q96] done in 16s (exit 0, score=pass)
[sql_schema]   [q98] starting (worker _worker_0)
[sql_schema]   [q97] done in 18s (exit 0, score=fail)
[sql_bare]   [q91] done in 32s (exit 0, score=pass)
[sql_schema]   [q99] starting (worker _worker_1)
[sql_bare]   [q93] starting (worker _worker_1)
[sql_bare]   [q92] done in 23s (exit 0, score=pass)
[sql_bare]   [q94] starting (worker _worker_0)
[sql_schema]   [q98] done in 37s (exit 0, score=pass)
[sql_bare]   [q93] done in 56s (exit 0, score=fail)
[sql_bare]   [q95] starting (worker _worker_1)
[sql_schema]   [q99] done in 69s (exit 0, score=pass)
[sql_schema] [4/5] Finalising scores for 99 queries ...
[sql_schema]   wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_sql_schema_v2.png  (0 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_sql_schema.md)
[sql_schema] [5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260629-155200_sql_schema
[sql_schema] 
[sql_schema] # TPC-DS Agent Eval — 20260629-155202
[sql_schema] 
[sql_schema] - Model: `deepseek/deepseek-chat`
[sql_schema] - Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.288
[sql_schema] 
[sql_schema] ## Result
[sql_schema] 
[sql_schema] - **Pass rate: 75/99** (76%)
[sql_schema] - Status breakdown: {'pass': 75, 'fail': 24}
[sql_schema] - Wall time: 2519.3s  |  Agent time: 4834.2s  |  Avg/query: 48.8s
[sql_schema] - Agent exit code: 0
[sql_schema] 
[sql_schema] ## Agent harness metrics
[sql_schema] 
[sql_schema] - LLM iterations: 1341
[sql_schema] - Tool calls: 1675  →  {'read_file': 105, 'run_query': 1233, 'write_file': 108, 'run_file': 121, 'return_control_to_user': 99, 'list_files': 9}
[sql_schema] - `trilogy` subcommands: {}
[sql_schema] - Tool success rate: 99% (1658/1675 ok)
[sql_schema] - Tokens: 16724420 total (16296636 prompt + 427784 completion)
[sql_schema] 
[sql_schema] ## Tool-output sizes
[sql_schema] 
[sql_schema] | Tool | calls | avg chars | max chars | truncated | trunc-rate |
[sql_schema] |---|---:|---:|---:|---:|---:|
[sql_schema] | `run_query` | 1233 | 611 | 10574 | 0 | 0% |
[sql_schema] | `run_file` | 121 | 2426 | 9480 | 0 | 0% |
[sql_schema] | `write_file` | 108 | 45 | 45 | 0 | 0% |
[sql_schema] | `read_file` | 105 | 13191 | 13848 | 0 | 0% |
[sql_schema] | `return_control_to_user` | 99 | 26 | 26 | 0 | 0% |
[sql_schema] | `list_files` | 9 | 151 | 151 | 0 | 0% |
[sql_schema] 
[sql_schema] - Repeated calls (same args seen earlier in same query): {'run_query': 6, 'run_file': 22, 'write_file': 1} — total 29
[sql_schema] 
[sql_schema] ## Per-query
[sql_schema] 
[sql_schema] | Query | Status | Ref rows | Cand rows | SQL len | Detail |
[sql_schema] |------:|:-------|---------:|----------:|--------:|:-------|
[sql_schema] | 01 | pass | 100 | 100 | 790 |  |
[sql_schema] | 02 | pass | 53 | 53 | 2296 |  |
[sql_schema] | 03 | pass | 89 | 89 | 403 |  |
[sql_schema] | 04 | pass | 6 | 6 | 3237 |  |
[sql_schema] | 05 | pass | 100 | 100 | 4821 |  |
[sql_schema] | 06 | fail | 46 | 48 | 1441 | result set differs from reference |
[sql_schema] | 07 | pass | 100 | 100 | 667 |  |
[sql_schema] | 08 | pass | 5 | 5 | 3365 |  |
[sql_schema] | 09 | pass | 1 | 1 | 1325 |  |
[sql_schema] | 10 | pass | 6 | 6 | 1895 |  |
[sql_schema] | 11 | pass | 90 | 90 | 2359 |  |
[sql_schema] | 12 | pass | 100 | 100 | 785 |  |
[sql_schema] | 13 | pass | 1 | 1 | 1254 |  |
[sql_schema] | 14 | pass | 100 | 100 | 4684 |  |
[sql_schema] | 15 | pass | 100 | 100 | 589 |  |
[sql_schema] | 16 | pass | 1 | 1 | 821 |  |
[sql_schema] | 17 | pass | 23 | 23 | 1605 |  |
[sql_schema] | 18 | fail | 100 | 100 | 1380 | result set differs from reference |
[sql_schema] | 19 | pass | 100 | 100 | 642 |  |
[sql_schema] | 20 | fail | 100 | 100 | 1095 | result set differs from reference |
[sql_schema] | 21 | pass | 100 | 100 | 1167 |  |
[sql_schema] | 22 | pass | 100 | 100 | 466 |  |
[sql_schema] | 23 | fail | 4 | 19 | 2676 | result set differs from reference |
[sql_schema] | 24 | fail | 1 | 1 | 1409 | result set differs from reference |
[sql_schema] | 25 | pass | 1 | 1 | 1140 |  |
[sql_schema] | 26 | pass | 100 | 100 | 659 |  |
[sql_schema] | 27 | pass | 100 | 100 | 1372 |  |
[sql_schema] | 28 | pass | 1 | 1 | 4161 |  |
[sql_schema] | 29 | pass | 1 | 1 | 1132 |  |
[sql_schema] | 30 | fail | 100 | 100 | 1875 | result set differs from reference |
[sql_schema] | 31 | fail | 44 | 45 | 2158 | result set differs from reference |
[sql_schema] | 32 | pass | 1 | 1 | 533 |  |
[sql_schema] | 33 | pass | 100 | 100 | 1027 |  |
[sql_schema] | 34 | pass | 455 | 455 | 976 |  |
[sql_schema] | 35 | pass | 100 | 100 | 2318 |  |
[sql_schema] | 36 | fail | 100 | 100 | 1447 | result set differs from reference |
[sql_schema] | 37 | pass | 1 | 1 | 551 |  |
[sql_schema] | 38 | pass | 1 | 1 | 819 |  |
[sql_schema] | 39 | pass | 243 | 243 | 1263 |  |
[sql_schema] | 40 | pass | 100 | 100 | 838 |  |
[sql_schema] | 41 | pass | 100 | 100 | 589 |  |
[sql_schema] | 42 | pass | 10 | 10 | 435 |  |
[sql_schema] | 43 | pass | 6 | 6 | 855 |  |
[sql_schema] | 44 | pass | 10 | 10 | 1127 |  |
[sql_schema] | 45 | pass | 19 | 19 | 714 |  |
[sql_schema] | 46 | pass | 100 | 100 | 1075 |  |
[sql_schema] | 47 | pass | 100 | 100 | 2155 |  |
[sql_schema] | 48 | pass | 1 | 1 | 1000 |  |
[sql_schema] | 49 | fail | 34 | 35 | 2617 | result set differs from reference |
[sql_schema] | 50 | fail | 6 | 6 | 1468 | result set differs from reference |
[sql_schema] | 51 | fail | 100 | 100 | 1930 | result set differs from reference |
[sql_schema] | 52 | pass | 100 | 100 | 486 |  |
[sql_schema] | 53 | pass | 100 | 100 | 1279 |  |
[sql_schema] | 54 | fail | 1 | 1 | 1776 | result set differs from reference |
[sql_schema] | 55 | pass | 100 | 100 | 375 |  |
[sql_schema] | 56 | fail | 100 | 100 | 1158 | result set differs from reference |
[sql_schema] | 57 | pass | 100 | 100 | 1931 |  |
[sql_schema] | 58 | fail | 5 | 5 | 1745 | result set differs from reference |
[sql_schema] | 59 | pass | 100 | 100 | 3123 |  |
[sql_schema] | 60 | pass | 100 | 100 | 1156 |  |
[sql_schema] | 61 | pass | 1 | 1 | 1066 |  |
[sql_schema] | 62 | pass | 100 | 100 | 1198 |  |
[sql_schema] | 63 | pass | 100 | 100 | 1524 |  |
[sql_schema] | 64 | pass | 2 | 2 | 3682 |  |
[sql_schema] | 65 | pass | 100 | 100 | 863 |  |
[sql_schema] | 66 | fail | 5 | 60 | 2536 | result set differs from reference |
