[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (9 queries, fresh context each, concurrency=4) — deepseek/deepseek-chat ...
  [q05] starting (worker _worker_3)
  [q54] starting (worker _worker_1)
  [q59] starting (worker _worker_0)
  [q14] starting (worker _worker_2)
  [q54] done in 75s (exit 0, score=pass)
  [q75] starting (worker _worker_1)
  [q59] done in 102s (exit 0, score=fail)
  [q80] starting (worker _worker_0)
  [q05] done in 146s (exit 0, score=fail)
  [q83] starting (worker _worker_3)
  [q75] done in 83s (exit 0, score=fail)
  [q86] starting (worker _worker_1)
  [q80] done in 78s (exit 0, score=fail)
  [q97] starting (worker _worker_0)
  [q97] done in 43s (exit 0, score=pass)
  [q83] done in 139s (exit 0, score=pass)
  [q86] done in 148s (exit 0, score=fail)
  [q14] done in 495s (exit 0, score=fail)
[4/5] Finalising scores for 9 queries ...
  spliced 90 prior results from 20260701-013044
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (31 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260701-033309

# TPC-DS Agent Eval — 20260701-033309

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.288

## Result

- **Pass rate: 65/99** (66%)
- Status breakdown: {'pass': 65, 'fail': 34}
- Wall time: 497.9s  |  Agent time: 1309.5s  |  Avg/query: 145.5s
- Agent exit code: 0

## Agent harness metrics

- LLM iterations: 195
- Tool calls: 248  →  {'trilogy': 239, 'return_control_to_user': 9}
- `trilogy` subcommands: {'agent-info': 23, 'file': 86, 'explore': 54, 'run': 76}
- Tool success rate: 88% (217/248 ok)
- Tokens: 6975961 total (6905844 prompt + 70117 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
| 54 | pass | 1 | 1 | 3394 |  |
| 55 | pass | 100 | 100 | 832 |  |
| 56 | fail | 100 | 100 | 2809 | result set differs from reference |
| 57 | pass | 100 | 100 | 5250 |  |
| 58 | pass | 5 | 5 | 4339 |  |
| 59 | fail | 100 | 100 | 10285 | result set differs from reference |
| 60 | pass | 100 | 100 | 3608 |  |
| 61 | pass | 1 | 1 | 2767 |  |
| 62 | pass | 100 | 100 | 2925 |  |
| 63 | pass | 100 | 100 | 1841 |  |
| 64 | fail | 2 | 595 | 14795 | result set differs from reference |
| 65 | pass | 100 | 100 | 2006 |  |
| 66 | fail | 5 | 48 | 9573 | result set differs from reference |
| 67 | fail | 100 | 100 | 5922 | result set differs from reference |
| 68 | pass | 100 | 100 | 2418 |  |
| 69 | pass | 100 | 100 | 3824 |  |
| 70 | pass | 3 | 3 | 2342 |  |
| 71 | pass | 1031 | 1031 | 3136 |  |
| 72 | pass | 100 | 100 | 2989 |  |
| 73 | fail | 1 | 82 | 1895 | result set differs from reference |
| 74 | pass | 92 | 92 | 4077 |  |
| 75 | fail | 100 | 100 | 9744 | result set differs from reference |
| 76 | pass | 100 | 100 | 5299 |  |
| 77 | fail | 44 | 76 | 6655 | result set differs from reference |
| 78 | fail | 100 | 100 | 6265 | result set differs from reference |
| 79 | fail | 100 | 100 | 1654 | result set differs from reference |
| 80 | fail | 100 | 100 | 8056 | result set differs from reference |
| 81 | fail | 100 | 100 | 7516 | result set differs from reference |
| 82 | fail | 2 | 4 | 1494 | result set differs from reference |
| 83 | pass | 24 | 24 | 4857 |  |
| 84 | fail | 16 | 100 | 1564 | result set differs from reference |
| 85 | pass | 1 | 1 | 3169 |  |
| 86 | fail | 100 | 100 | 1470 | result set differs from reference |
| 87 | fail | 1 | 1 | 2835 | result set differs from reference |
| 88 | fail | 1 | 1 | 3652 | result set differs from reference |
| 89 | pass | 100 | 100 | 3544 |  |
| 90 | fail | 1 | 1 | 1594 | result set differs from reference |
| 91 | fail | 2 | 2 | 2340 | result set differs from reference |
| 92 | pass | 1 | 1 | 1318 |  |
| 93 | fail | 100 | 100 | 1107 | result set differs from reference |
| 94 | pass | 1 | 1 | 4017 |  |
| 95 | fail | 1 | 1 | 3263 | result set differs from reference |
| 96 | pass | 1 | 1 | 988 |  |
| 97 | pass | 1 | 1 | 4102 |  |
| 98 | pass | 2521 | 2521 | 3967 |  |
| 99 | pass | 90 | 90 | 2658 |  |

## Agent final message

> Query97 complete. Written to query97.preql and validated with trilogy run. Results: only_store_count=540709, only_catalog_count=286686, both_count=171.

