[categories] spawning parallel runs:
   sql_bare   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260628-042638_sql_bare
[sql_schema]   [q10] done in 38s (exit 0, score=pass)
[sql_schema]   [q11] starting (worker _worker_1)
[sql_bare]   [q10] done in 47s (exit 0, score=pass)
[sql_bare]   [q11] starting (worker _worker_1)
[sql_bare]   [q08] done in 93s (exit 0, score=fail)
[sql_bare]   [q12] starting (worker _worker_0)
[sql_schema]   [q08] done in 130s (exit 0, score=pass)
[sql_schema]   [q12] starting (worker _worker_0)
[sql_bare]   [q12] done in 36s (exit 0, score=pass)
[sql_bare]   [q13] starting (worker _worker_0)
[enriched]   [q10] done in 75s (exit 0, score=pass)
[sql_schema]   [q12] done in 42s (exit 0, score=pass)
[enriched]   [q11] starting (worker _worker_1)
[sql_schema]   [q13] starting (worker _worker_0)
[sql_schema]   [q11] done in 67s (exit 0, score=fail)
[sql_schema]   [q14] starting (worker _worker_1)
[sql_bare]   [q11] done in 89s (exit 0, score=fail)
[sql_bare]   [q14] starting (worker _worker_1)
[sql_bare]   [q13] done in 45s (exit 0, score=pass)
[sql_bare]   [q15] starting (worker _worker_0)
[enriched]   [q11] done in 48s (exit 0, score=fail)
[enriched]   [q12] starting (worker _worker_1)
[sql_schema]   [q13] done in 49s (exit 0, score=pass)
[sql_schema]   [q15] starting (worker _worker_0)
[enriched]   [q05] done in 352s (exit 0, score=fail)
[enriched]   [q13] starting (worker _worker_0)
[enriched]   [q12] done in 24s (exit 0, score=pass)
[enriched]   [q14] starting (worker _worker_1)
[sql_schema]   [q15] done in 31s (exit 0, score=fail)
[sql_schema]   [q16] starting (worker _worker_0)
[sql_schema]   [q14] done in 84s (exit 0, score=pass)
[sql_schema]   [q17] starting (worker _worker_1)
[enriched]   [q13] done in 32s (exit 0, score=pass)
[enriched]   [q15] starting (worker _worker_0)
[sql_bare]   [q15] done in 62s (exit 0, score=fail)
[sql_bare]   [q16] starting (worker _worker_0)
[sql_bare]   [q14] done in 95s (exit 0, score=pass)
[sql_bare]   [q17] starting (worker _worker_1)
[sql_schema]   [q16] done in 45s (exit 0, score=pass)
[sql_schema]   [q18] starting (worker _worker_0)
[enriched]   [q15] done in 35s (exit 0, score=pass)
[enriched]   [q16] starting (worker _worker_0)
[sql_bare]   [q16] done in 62s (exit 0, score=pass)
[sql_bare]   [q18] starting (worker _worker_0)
[sql_bare]   [q17] done in 50s (exit 0, score=fail)
[sql_bare]   [q19] starting (worker _worker_1)
[sql_schema]   [q18] done in 47s (exit 0, score=fail)
[sql_schema]   [q19] starting (worker _worker_0)
[enriched]   [q14] done in 99s (exit 0, score=fail)
[enriched]   [q17] starting (worker _worker_1)
[sql_bare]   [q19] done in 25s (exit 0, score=pass)
[enriched]   [q16] done in 66s (exit 0, score=fail)
[sql_bare]   [q20] starting (worker _worker_1)
[enriched]   [q18] starting (worker _worker_0)
[sql_schema]   [q19] done in 28s (exit 0, score=pass)
[sql_schema]   [q20] starting (worker _worker_0)
[enriched]   [q17] done in 42s (exit 0, score=fail)
[enriched]   [q19] starting (worker _worker_1)
[sql_schema]   [q20] done in 23s (exit 0, score=fail)
[sql_schema]   [q21] starting (worker _worker_0)
[sql_bare]   [q18] done in 76s (exit 0, score=fail)
[sql_bare]   [q21] starting (worker _worker_0)
[sql_bare]   [q20] done in 44s (exit 0, score=pass)
[sql_bare]   [q22] starting (worker _worker_1)
[enriched]   [q18] done in 49s (exit 0, score=fail)
[enriched]   [q20] starting (worker _worker_0)
[sql_schema]   [q17] done in 169s (exit 0, score=fail)
[sql_schema]   [q22] starting (worker _worker_1)
[enriched]   [q19] done in 32s (exit 0, score=pass)
[enriched]   [q21] starting (worker _worker_1)
[sql_schema]   [q21] done in 29s (exit 0, score=pass)
[sql_schema]   [q23] starting (worker _worker_0)
[sql_bare]   [q22] done in 20s (exit 0, score=pass)
[sql_bare]   [q23] starting (worker _worker_1)
[enriched]   [q20] done in 24s (exit 0, score=pass)
[enriched]   [q22] starting (worker _worker_0)
[sql_schema]   [q22] done in 17s (exit 0, score=pass)
[sql_schema]   [q24] starting (worker _worker_1)
[sql_bare]   [q21] done in 41s (exit 0, score=pass)
[sql_bare]   [q24] starting (worker _worker_0)
[enriched]   [q22] done in 23s (exit 0, score=pass)
[enriched]   [q23] starting (worker _worker_0)
[enriched]   [q21] done in 54s (exit 0, score=pass)
[enriched]   [q24] starting (worker _worker_1)
[sql_bare]   [q24] done in 34s (exit 0, score=pass)
[sql_bare]   [q25] starting (worker _worker_0)
[sql_schema]   [q24] done in 47s (exit 0, score=pass)
[sql_schema]   [q25] starting (worker _worker_1)
[sql_schema]   [q23] done in 73s (exit 0, score=fail)
[sql_schema]   [q26] starting (worker _worker_0)
[sql_schema]   [q26] done in 26s (exit 0, score=pass)
[sql_schema]   [q27] starting (worker _worker_0)
[sql_schema]   [q25] done in 63s (exit 0, score=pass)
[sql_schema]   [q28] starting (worker _worker_1)
[sql_bare]   [q23] done in 126s (exit 0, score=fail)
[sql_bare]   [q26] starting (worker _worker_1)
[sql_schema]   [q27] done in 38s (exit 0, score=pass)
[sql_schema]   [q29] starting (worker _worker_0)
[sql_schema]   [q28] done in 29s (exit 0, score=pass)
[sql_schema]   [q30] starting (worker _worker_1)
[sql_bare]   [q26] done in 30s (exit 0, score=pass)
[sql_bare]   [q27] starting (worker _worker_1)
[sql_bare]   [q25] done in 122s (exit 0, score=pass)
[sql_bare]   [q28] starting (worker _worker_0)
[enriched]   [q24] done in 130s (exit 0, score=fail)
[enriched]   [q25] starting (worker _worker_1)
[enriched]   [q23] done in 151s (exit 0, score=fail)
[enriched]   [q26] starting (worker _worker_0)
[sql_schema]   [q30] done in 36s (exit 0, score=fail)
[sql_schema]   [q31] starting (worker _worker_1)
[sql_bare]   [q28] done in 21s (exit 0, score=pass)
[sql_bare]   [q29] starting (worker _worker_0)
[sql_bare]   [q27] done in 48s (exit 0, score=pass)
[sql_bare]   [q30] starting (worker _worker_1)
[enriched]   [q26] done in 25s (exit 0, score=pass)
[enriched]   [q27] starting (worker _worker_0)
[sql_schema]   [q31] done in 54s (exit 0, score=fail)
[sql_schema]   [q32] starting (worker _worker_1)
[enriched]   [q25] done in 68s (exit 0, score=pass)
[enriched]   [q28] starting (worker _worker_1)
[sql_bare]   [q30] done in 52s (exit 0, score=pass)
[sql_bare]   [q31] starting (worker _worker_1)
[sql_bare]   [q29] done in 63s (exit 0, score=fail)
[sql_bare]   [q32] starting (worker _worker_0)
[enriched]   [q27] done in 46s (exit 0, score=pass)
[enriched]   [q29] starting (worker _worker_0)
[sql_schema]   [q29] done in 131s (exit 0, score=fail)
[sql_schema]   [q33] starting (worker _worker_0)
[sql_schema]   [q32] done in 23s (exit 0, score=pass)
[sql_schema]   [q34] starting (worker _worker_1)
[enriched]   [q28] done in 26s (exit 0, score=pass)
[enriched]   [q30] starting (worker _worker_1)
[sql_bare]   [q32] done in 29s (exit 0, score=pass)
[sql_bare]   [q33] starting (worker _worker_0)
[enriched]   [q29] done in 35s (exit 0, score=fail)
[enriched]   [q31] starting (worker _worker_0)
[sql_schema]   [q34] done in 41s (exit 0, score=pass)
[sql_schema]   [q35] starting (worker _worker_1)
[sql_bare]   [q31] done in 52s (exit 0, score=fail)
[sql_bare]   [q34] starting (worker _worker_1)
[sql_schema]   [q33] done in 47s (exit 0, score=pass)
[sql_schema]   [q36] starting (worker _worker_0)
[enriched]   [q30] done in 44s (exit 0, score=fail)
[enriched]   [q32] starting (worker _worker_1)
[sql_bare]   [q33] done in 47s (exit 0, score=pass)
[sql_bare]   [q35] starting (worker _worker_0)
[sql_bare]   [q34] done in 33s (exit 0, score=pass)
[sql_bare]   [q36] starting (worker _worker_1)
[enriched]   [q32] done in 31s (exit 0, score=pass)
[enriched]   [q33] starting (worker _worker_1)
[enriched]   [q31] done in 55s (exit 0, score=fail)
[enriched]   [q34] starting (worker _worker_0)
[sql_schema]   [q35] done in 50s (exit 0, score=pass)
[sql_schema]   [q37] starting (worker _worker_1)
[sql_schema]   [q36] done in 48s (exit 0, score=fail)
[sql_schema]   [q38] starting (worker _worker_0)
[enriched]   [q33] done in 29s (exit 0, score=pass)
[enriched]   [q35] starting (worker _worker_1)
[enriched]   [q34] done in 35s (exit 0, score=pass)
[enriched]   [q36] starting (worker _worker_0)
[sql_schema]   [q38] done in 29s (exit 0, score=pass)
[sql_bare]   [q35] done in 55s (exit 0, score=pass)
[sql_schema]   [q39] starting (worker _worker_0)
[sql_bare]   [q37] starting (worker _worker_0)
[sql_bare]   [q36] done in 50s (exit 0, score=pass)
[sql_bare]   [q38] starting (worker _worker_1)
[sql_schema]   [q37] done in 42s (exit 0, score=pass)
[sql_schema]   [q40] starting (worker _worker_1)
[sql_bare]   [q37] done in 20s (exit 0, score=pass)
[sql_bare]   [q39] starting (worker _worker_0)
[sql_bare]   [q38] done in 20s (exit 0, score=pass)
[sql_bare]   [q40] starting (worker _worker_1)
[sql_schema]   [q39] done in 31s (exit 0, score=pass)
[sql_schema]   [q41] starting (worker _worker_0)
[enriched]   [q36] done in 35s (exit 0, score=pass)
[enriched]   [q37] starting (worker _worker_0)
[enriched]   [q35] done in 50s (exit 0, score=fail)
[enriched]   [q38] starting (worker _worker_1)
[sql_bare]   [q40] done in 40s (exit 0, score=pass)
[sql_bare]   [q41] starting (worker _worker_1)
[sql_bare]   [q39] done in 43s (exit 0, score=pass)
[sql_bare]   [q42] starting (worker _worker_0)
[enriched]   [q37] done in 32s (exit 0, score=pass)
[enriched]   [q39] starting (worker _worker_0)
[sql_schema]   [q40] done in 73s (exit 0, score=pass)
[sql_bare]   [q42] done in 20s (exit 0, score=pass)
[sql_schema]   [q42] starting (worker _worker_1)
[sql_bare]   [q43] starting (worker _worker_0)
[sql_schema]   [q41] done in 56s (exit 0, score=pass)
[sql_schema]   [q43] starting (worker _worker_0)
[sql_schema]   [q42] done in 20s (exit 0, score=pass)
[sql_schema]   [q44] starting (worker _worker_1)
[sql_bare]   [q41] done in 50s (exit 0, score=pass)
[sql_bare]   [q44] starting (worker _worker_1)
[enriched]   [q39] done in 60s (exit 0, score=pass)
[enriched]   [q40] starting (worker _worker_0)
[sql_bare]   [q43] done in 41s (exit 0, score=pass)
[sql_bare]   [q45] starting (worker _worker_0)
[sql_schema]   [q43] done in 43s (exit 0, score=pass)
[sql_schema]   [q45] starting (worker _worker_0)
[sql_bare]   [q44] done in 35s (exit 0, score=pass)
[sql_bare]   [q46] starting (worker _worker_1)
[sql_bare]   [q45] done in 30s (exit 0, score=fail)
[sql_bare]   [q47] starting (worker _worker_0)
[sql_schema]   [q44] done in 50s (exit 0, score=pass)
[sql_schema]   [q46] starting (worker _worker_1)
[sql_schema]   [q45] done in 42s (exit 0, score=pass)
[sql_schema]   [q47] starting (worker _worker_0)
[enriched]   [q40] done in 48s (exit 0, score=pass)
[enriched]   [q41] starting (worker _worker_0)
[sql_schema]   [q46] done in 25s (exit 0, score=pass)
[sql_schema]   [q48] starting (worker _worker_1)
[sql_bare]   [q46] done in 44s (exit 0, score=pass)
[sql_bare]   [q48] starting (worker _worker_1)
[sql_schema]   [q48] done in 29s (exit 0, score=pass)
[sql_schema]   [q49] starting (worker _worker_1)
[sql_bare]   [q47] done in 58s (exit 0, score=pass)
[sql_bare]   [q49] starting (worker _worker_0)
[sql_schema]   [q47] done in 47s (exit 0, score=fail)
[sql_schema]   [q50] starting (worker _worker_0)
[sql_bare]   [q48] done in 33s (exit 0, score=pass)
[sql_bare]   [q50] starting (worker _worker_1)
[sql_schema]   [q49] done in 56s (exit 0, score=pass)
[sql_schema]   [q51] starting (worker _worker_1)
[enriched]   [q41] done in 99s (exit 0, score=fail)
[enriched]   [q42] starting (worker _worker_0)
[sql_bare]   [q50] done in 54s (exit 0, score=pass)
[sql_bare]   [q51] starting (worker _worker_1)
[enriched]   [q38] done in 245s (exit 0, score=fail)
[enriched]   [q43] starting (worker _worker_1)
[sql_schema]   [q50] done in 73s (exit 0, score=pass)
[sql_schema]   [q52] starting (worker _worker_0)
[enriched]   [q42] done in 21s (exit 0, score=pass)
[enriched]   [q44] starting (worker _worker_0)
[sql_schema]   [q52] done in 14s (exit 0, score=pass)
[sql_schema]   [q53] starting (worker _worker_0)
[sql_schema]   [q51] done in 41s (exit 0, score=fail)
[sql_schema]   [q54] starting (worker _worker_1)
[sql_bare]   [q49] done in 98s (exit 0, score=fail)
[sql_bare]   [q52] starting (worker _worker_0)
[enriched]   [q43] done in 39s (exit 0, score=pass)
[enriched]   [q45] starting (worker _worker_1)
[sql_bare]   [q51] done in 47s (exit 0, score=fail)
[sql_bare]   [q53] starting (worker _worker_1)
[sql_bare]   [q52] done in 18s (exit 0, score=pass)
[sql_bare]   [q54] starting (worker _worker_0)
[sql_schema]   [q53] done in 43s (exit 0, score=pass)
[sql_schema]   [q55] starting (worker _worker_0)
[sql_schema]   [q55] done in 14s (exit 0, score=pass)
[sql_schema]   [q56] starting (worker _worker_0)
[sql_bare]   [q53] done in 41s (exit 0, score=pass)
[sql_bare]   [q55] starting (worker _worker_1)
[enriched]   [q45] done in 51s (exit 0, score=pass)
[enriched]   [q46] starting (worker _worker_1)
[sql_bare]   [q55] done in 15s (exit 0, score=pass)
[sql_bare]   [q56] starting (worker _worker_1)
[sql_bare]   [q54] done in 63s (exit 0, score=fail)
[sql_bare]   [q57] starting (worker _worker_0)
[enriched]   [q44] done in 98s (exit 0, score=fail)
[enriched]   [q47] starting (worker _worker_0)
[enriched]   [q46] done in 29s (exit 0, score=fail)
[enriched]   [q48] starting (worker _worker_1)
[sql_schema]   [q56] done in 43s (exit 0, score=fail)
[sql_schema]   [q57] starting (worker _worker_0)
[sql_bare]   [q56] done in 46s (exit 0, score=fail)
[sql_bare]   [q58] starting (worker _worker_1)
[sql_bare]   [q57] done in 44s (exit 0, score=fail)
[sql_bare]   [q59] starting (worker _worker_0)
[enriched]   [q48] done in 37s (exit 0, score=pass)
[enriched]   [q49] starting (worker _worker_1)
[sql_schema]   [q57] done in 35s (exit 0, score=pass)
[sql_schema]   [q58] starting (worker _worker_0)
[enriched]   [q47] done in 55s (exit 0, score=pass)
[enriched]   [q50] starting (worker _worker_0)
[sql_schema]   [q54] done in 166s (exit 0, score=fail)
[sql_schema]   [q59] starting (worker _worker_1)
[sql_bare]   [q58] done in 40s (exit 0, score=fail)
[sql_bare]   [q60] starting (worker _worker_1)
[enriched]   [q49] done in 43s (exit 0, score=fail)
[enriched]   [q51] starting (worker _worker_1)
[sql_schema]   [q58] done in 40s (exit 0, score=fail)
[sql_schema]   [q60] starting (worker _worker_0)
[enriched]   [q50] done in 51s (exit 0, score=fail)
[enriched]   [q52] starting (worker _worker_0)
[sql_bare]   [q59] done in 75s (exit 0, score=pass)
[sql_schema]   [q60] done in 22s (exit 0, score=pass)
[sql_bare]   [q61] starting (worker _worker_0)
[sql_schema]   [q61] starting (worker _worker_0)
[sql_bare]   [q60] done in 39s (exit 0, score=pass)
[sql_bare]   [q62] starting (worker _worker_1)
[enriched]   [q52] done in 20s (exit 0, score=pass)
[enriched]   [q53] starting (worker _worker_0)
[sql_schema]   [q61] done in 24s (exit 0, score=pass)
[sql_schema]   [q62] starting (worker _worker_0)
[enriched]   [q51] done in 52s (exit 0, score=fail)
[enriched]   [q54] starting (worker _worker_1)
[sql_bare]   [q61] done in 30s (exit 0, score=pass)
[sql_bare]   [q63] starting (worker _worker_0)
[sql_bare]   [q62] done in 57s (exit 0, score=pass)
[sql_bare]   [q64] starting (worker _worker_1)
[sql_schema]   [q62] done in 36s (exit 0, score=pass)
[sql_schema]   [q63] starting (worker _worker_0)
[sql_schema]   [q59] done in 115s (exit 0, score=pass)
[sql_schema]   [q64] starting (worker _worker_1)
[enriched]   [q54] done in 49s (exit 0, score=fail)
[enriched]   [q55] starting (worker _worker_1)
[sql_bare]   [q63] done in 53s (exit 0, score=pass)
[sql_bare]   [q65] starting (worker _worker_0)
[enriched]   [q53] done in 73s (exit 0, score=pass)
[enriched]   [q56] starting (worker _worker_0)
[enriched]   [q55] done in 16s (exit 0, score=pass)
[enriched]   [q57] starting (worker _worker_1)
[sql_schema]   [q63] done in 56s (exit 0, score=pass)
[enriched]   [q56] done in 30s (exit 0, score=fail)
[sql_schema]   [q65] starting (worker _worker_0)
[enriched]   [q58] starting (worker _worker_0)
[sql_bare]   [q65] done in 38s (exit 0, score=fail)
[sql_bare]   [q66] starting (worker _worker_0)
[enriched]   [q57] done in 33s (exit 0, score=pass)
[enriched]   [q59] starting (worker _worker_1)
[sql_schema]   [q65] done in 27s (exit 0, score=pass)
[sql_schema]   [q66] starting (worker _worker_0)
[enriched]   [q58] done in 58s (exit 0, score=pass)
[enriched]   [q60] starting (worker _worker_0)
[sql_bare]   [q64] done in 123s (exit 0, score=pass)
[sql_bare]   [q67] starting (worker _worker_1)
[enriched]   [q59] done in 66s (exit 0, score=fail)
[enriched]   [q61] starting (worker _worker_1)
[enriched]   [q60] done in 29s (exit 0, score=fail)
[enriched]   [q62] starting (worker _worker_0)
[sql_bare]   [q66] done in 95s (exit 0, score=fail)
[sql_bare]   [q68] starting (worker _worker_0)
[sql_schema]   [q64] done in 152s (exit 0, score=pass)
[sql_schema]   [q67] starting (worker _worker_1)
[enriched]   [q61] done in 33s (exit 0, score=pass)
[enriched]   [q63] starting (worker _worker_1)
[sql_bare]   [q67] done in 51s (exit 0, score=fail)
[sql_bare]   [q69] starting (worker _worker_1)
[sql_bare]   [q68] done in 19s (exit 0, score=pass)
[sql_bare]   [q70] starting (worker _worker_0)
[sql_schema]   [q66] done in 93s (exit 0, score=fail)
[sql_schema]   [q68] starting (worker _worker_0)
[enriched]   [q62] done in 32s (exit 0, score=pass)
[enriched]   [q64] starting (worker _worker_0)
[sql_schema]   [q68] done in 27s (exit 0, score=pass)
[sql_schema]   [q69] starting (worker _worker_0)
[sql_bare]   [q69] done in 31s (exit 0, score=fail)
[sql_bare]   [q71] starting (worker _worker_1)
[sql_schema]   [q67] done in 45s (exit 0, score=fail)
[sql_schema]   [q70] starting (worker _worker_1)
[sql_bare]   [q70] done in 44s (exit 0, score=pass)
[sql_bare]   [q72] starting (worker _worker_0)
[enriched]   [q63] done in 63s (exit 0, score=pass)
[enriched]   [q65] starting (worker _worker_1)
[sql_bare]   [q71] done in 34s (exit 0, score=pass)
[sql_bare]   [q73] starting (worker _worker_1)
[sql_schema]   [q70] done in 44s (exit 0, score=fail)
[sql_schema]   [q71] starting (worker _worker_1)
[sql_schema]   [q69] done in 59s (exit 0, score=fail)
[sql_schema]   [q72] starting (worker _worker_0)
[enriched]   [q65] done in 40s (exit 0, score=pass)
[enriched]   [q66] starting (worker _worker_1)
[sql_bare]   [q72] done in 57s (exit 0, score=pass)
[sql_bare]   [q74] starting (worker _worker_0)
[sql_bare]   [q73] done in 43s (exit 0, score=pass)
[sql_bare]   [q75] starting (worker _worker_1)
[sql_schema]   [q71] done in 25s (exit 0, score=pass)
[sql_schema]   [q73] starting (worker _worker_1)
[sql_bare]   [q74] done in 23s (exit 0, score=pass)
[sql_bare]   [q76] starting (worker _worker_0)
[sql_schema]   [q72] done in 59s (exit 0, score=pass)
[sql_schema]   [q74] starting (worker _worker_0)
[sql_schema]   [q73] done in 49s (exit 0, score=pass)
[sql_schema]   [q75] starting (worker _worker_1)
[sql_schema]   [q75] done in 3630s (exit -1, score=timeout)
[sql_bare]   [q76] done in 3664s (exit -1, score=pass)
[sql_schema]   [q74] done in 3643s (exit -1, score=timeout)
[sql_bare]   [q77] starting (worker _worker_0)
[sql_schema]   [q76] starting (worker _worker_1)
[sql_schema]   [q77] starting (worker _worker_0)
[sql_bare]   [q75] done in 3683s (exit -1, score=pass)
[sql_bare]   [q78] starting (worker _worker_1)
[enriched]   [q64] done in 3788s (exit -1, score=timeout)
[enriched]   [q67] starting (worker _worker_0)
[enriched]   [q66] done in 3690s (exit -1, score=timeout)
[enriched]   [q68] starting (worker _worker_1)
[sql_bare]   [q78] done in 5388s (exit -1, score=timeout)
[sql_schema]   [q76] done in 5388s (exit -1, score=timeout)
[enriched]   [q68] done in 5385s (exit -1, score=timeout)
[enriched]   [q67] done in 5387s (exit -1, score=timeout)
[sql_bare]   [q77] done in 5388s (exit -1, score=timeout)
[sql_schema]   [q78] starting (worker _worker_1)
[sql_schema]   [q77] done in 5388s (exit -1, score=timeout)
[sql_schema]   [q79] starting (worker _worker_0)
[enriched]   [q69] starting (worker _worker_1)
[enriched]   [q70] starting (worker _worker_0)
[sql_bare]   [q79] starting (worker _worker_1)
[sql_bare]   [q80] starting (worker _worker_0)
[sql_schema]   [q79] done in 123s (exit 0, score=fail)
[sql_schema]   [q80] starting (worker _worker_0)
[enriched]   [q69] done in 124s (exit 0, score=fail)
[enriched]   [q71] starting (worker _worker_1)
[enriched]   [q71] done in 45s (exit 0, score=pass)
[enriched]   [q72] starting (worker _worker_1)
[sql_bare]   [q79] done in 185s (exit 0, score=pass)
[sql_bare]   [q81] starting (worker _worker_1)
[sql_schema]   [q78] done in 191s (exit 0, score=fail)
[sql_schema]   [q81] starting (worker _worker_1)
[enriched]   [q70] done in 206s (exit 0, score=fail)
[enriched]   [q73] starting (worker _worker_0)
[sql_bare]   [q81] done in 31s (exit 0, score=pass)
[enriched]   [q72] done in 45s (exit 0, score=pass)
[sql_bare]   [q82] starting (worker _worker_1)
[enriched]   [q74] starting (worker _worker_1)
[sql_schema]   [q81] done in 27s (exit 0, score=pass)
[sql_schema]   [q82] starting (worker _worker_1)
[sql_bare]   [q80] done in 237s (exit 0, score=fail)
[sql_bare]   [q83] starting (worker _worker_0)
[enriched]   [q73] done in 36s (exit 0, score=fail)
[enriched]   [q75] starting (worker _worker_0)
[sql_schema]   [q82] done in 32s (exit 0, score=pass)
[sql_schema]   [q83] starting (worker _worker_1)
[sql_schema]   [q80] done in 134s (exit 0, score=fail)
[sql_schema]   [q84] starting (worker _worker_0)
[sql_bare]   [q82] done in 39s (exit 0, score=pass)
[sql_bare]   [q84] starting (worker _worker_1)
[enriched]   [q74] done in 60s (exit 0, score=fail)
[enriched]   [q76] starting (worker _worker_1)
[sql_schema]   [q84] done in 49s (exit 0, score=fail)
[sql_schema]   [q85] starting (worker _worker_0)
[sql_bare]   [q84] done in 55s (exit 0, score=pass)
[sql_bare]   [q85] starting (worker _worker_1)
[sql_bare]   [q83] done in 89s (exit 0, score=fail)
[sql_bare]   [q86] starting (worker _worker_0)
[sql_schema]   [q83] done in 75s (exit 0, score=fail)
[sql_schema]   [q86] starting (worker _worker_1)
[enriched]   [q76] done in 57s (exit 0, score=pass)
[enriched]   [q77] starting (worker _worker_1)
[sql_schema]   [q85] done in 36s (exit 0, score=pass)
[sql_schema]   [q87] starting (worker _worker_0)
[sql_bare]   [q85] done in 31s (exit 0, score=pass)
[sql_bare]   [q87] starting (worker _worker_1)
[sql_schema]   [q87] done in 24s (exit 0, score=pass)
[sql_schema]   [q88] starting (worker _worker_0)
[sql_schema]   [q88] done in 26s (exit 0, score=pass)
[sql_schema]   [q89] starting (worker _worker_0)
[sql_schema]   [q86] done in 77s (exit 0, score=fail)
[sql_schema]   [q90] starting (worker _worker_1)
[sql_bare]   [q87] done in 64s (exit 0, score=fail)
[sql_bare]   [q88] starting (worker _worker_1)
[enriched]   [q77] done in 78s (exit 0, score=fail)
[enriched]   [q78] starting (worker _worker_1)
[sql_bare]   [q86] done in 100s (exit 0, score=fail)
[sql_bare]   [q89] starting (worker _worker_0)
[sql_schema]   [q89] done in 38s (exit 0, score=pass)
[sql_schema]   [q91] starting (worker _worker_0)
[sql_schema]   [q90] done in 27s (exit 0, score=pass)
[sql_schema]   [q92] starting (worker _worker_1)
[sql_bare]   [q88] done in 38s (exit 0, score=pass)
[sql_bare]   [q90] starting (worker _worker_1)
[sql_schema]   [q92] done in 34s (exit 0, score=pass)
[sql_schema]   [q93] starting (worker _worker_1)
